Session_ID,Day,Session_Type,Start_Time,End_Time,Time,Room,Session_Title,Presenter,Description,Track,Tags,Image,Bio
1,Day 3,Main Session,9:15,10:15 AM,9:15–10:15 AM,TBD,"Panel — ""Whose Voice Is Not Being Heard?""",Masa Massenberg Rosati Kain; Charles Smith; Makeesha Coleman; Mike LaBrot; Corteiga Collins,,Main Session,,,
2,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,The Roots of Connection: Pruning for Justice-Centered Leadership,"Herman Armstrong, MBA, MTS","Justice-centered education requires more than policy shifts; it requires a transformation of leadership culture. This interactive workshop introduces the ""Kathairo"" principle—the intentional pruning of systemic and relational obstacles to make space for equity. Drawing on the Intercultural Development Inventory (IDI) and Harvard-certified leadership strategies, participants will learn how to prioritize Emotional and Cultural Intelligence over technical skill to build high-trust, inclusive environments where every learner and educator can flourish.",AM – Session A,,,
3,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,From Compliance to Culture: Building Justice-Centered Systems that Strengthen Schools and Protect Student Futures,"Urail S. Williams, MBA; Damon Selvey","Schools are navigating growing demands around compliance, student behavior, and equitable outcomes, yet many systems were built for accountability rather than belonging or development. This session introduces a Justice-Centered Systems Framework grounded in education reform, juvenile justice, restorative practices, and organizational leadership. It is a field-tested model that redefines how schools approach discipline, culture, and leadership alignment. Participants will examine why reactive discipline systems fall short and how to build proactive environments where belonging is embedded into the structure. Through real-world examples, attendees will leave with practical strategies and a clear, actionable path forward.",AM – Session B,,,
4,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,Justice in Practice: How Schools and Leaders Navigate Discipline Challenges,Dr. Pallavi Chhabra; Dr. Kacy Shahid,"This interactive workshop engages participants in examining justice‑centered approaches to school discipline. Drawing on statewide insights from Missouri, attendees will engage in reflective dialogue and collaborative design activities to explore disproportionality, gaps in current interventions, and the varied resource needs across districts. Participants will identify barriers, promising practices, and co‑develop strategies for creating equitable, inclusive, and safe learning environments for all students.",AM – Session C,,,
5,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,When the Complaint Lands on Your Desk: A Practical Framework for K–12 Leaders on Engaging Outside Counsel,"Dr. Dwayne E. Smith, Esq., Ed.D., SHRM-SCP, AWI-CH","Every K–12 leader will, at some point, face the moment a serious complaint lands on their desk involving a staff member or administrator, a harassment claim against a senior staff member, or a discrimination complaint with potential media exposure. The decisions a principal, superintendent, or district HR leader makes can often determine whether the matter is resolved credibly or escalates into prolonged litigation, OCR action, and reputational damage.
Drawing on his work as an attorney and consultant to Saint Louis University, Dr. Dwayne E. Smith will guide K–12 leaders through a practical framework for deciding when to investigate internally and when to engage outside counsel — how to select and scope the right investigator, how to protect investigator independence and privilege, and how to avoid the missteps that turn complaints into costly litigation.
Three Key Learning Objectives
By the end of this session, K–12 school leaders will be able to:
1. Decide when to engage outside counsel. Apply a clear decision-making framework —
grounded in Title IX, Title VII, and OCR triggers — to determine when a K–12 complaint must be referred to an external investigator rather than handled by the building principal or district HR.
2. Scope the engagement and protect the process. Identify the credentials, independence factors, and engagement-letter essentials that produce a defensible investigation in a school district setting and distinguish the role of the attorney-investigator from the attorney-advisor.
3. Prevent the post-investigation missteps that lead to litigation. Recognize the documentation, privilege, and retaliation pitfalls most common in K–12 settings, and build a pre-crisis framework — pre-vetted investigators, template engagement letters, and trained leadership — before the next complaint arrives.",AM – Session D,,,
6,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,Research to Action: Effective Reading Strategies in Every Classroom,Antonio Pacifico,"What does the science on reading actually say and what does it mean for teachers on Monday morning? This session grounds educators in the foundational research behind skilled reading, from the Matthew Effect to Scarborough's Reading Rope, and connects it directly to classroom practice. Participants leave with a clear, actionable framework for understanding how students become readers and how instruction must meet them where they are.",AM – Session E,,,
7,Day 3,Breakout,10:30,12:00 PM,10:30–12:00 PM,TBD,"Supporting Student Success: IEPs, Behavior, and School Discipline",Hayley Chartier,Participants will gain a foundational understanding of how to effectively support students with behavioral needs while ensuring compliance with IDEA and student discipline regulations.,AM – Session F,,,
8,Day 3,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Stop Burning Out: The Unfreeze Formula for ADHD Educators,"Amy Latta, Master Certified Feminist Coach","Burnout isn't just overworking. It's self-abandonment in every area of your life. You freeze in meetings. You have 17 brilliant ideas and start none of them. You get asked a direct question and your brain goes blank. This workshop delivers specific tools for specific freeze moments, so you can keep overwhelm from turning into full-blown burnout. Plus, one question that changes everything. Walk away grounded, clear, and able to start when you're stopped.",PM – Session B,,,
9,Day 3,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Partnering for Change: Strategies for Leaders to Partner for Growth,Dr. Pete White; Dr. Susan Marino,"The UMSL Charter School Office will present on how leaders can build capacity for school-level translational research. While balancing support for continuous improvement with oversight boundaries, this partnership helped schools clarify and track social-emotional learning goals. Through cycles of inquiry, the sponsor and schools co-built systems to assess progress, determine initiative effectiveness, and adjust practices. This collaborative capacity-building empowers charter schools to drive authentic growth and communicate success beyond traditional academic measures.",PM – Session C,,,
10,Day 3,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Belonging by Design: Building Just and Sustainable School Systems,Makeesha Coleman; Whitni Perry; Aniya Goodrich,"Many schools attempt to improve outcomes for diverse learners while operating within fragmented systems where interventions, classroom instruction, support services, and educator development are disconnected. This session explores how schools can move from isolated supports to integrated, inclusive systems strengthening instruction, student belonging, and long-term sustainability. Participants will examine how school systems shape adult practice, what new educators learn from the environments they enter, and how intentional collaboration and coaching structures can sustain inclusive practices.",PM – Session D,,,
11,Day 3,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Check Your BS®: When Comfort Gets in the Way of Equity,Coach Shaquan,"Equity requires more than awareness. It requires action, especially in uncomfortable moments. This session uses the Check Your BS® (Belief System) transformational coaching framework and Energy Leadership™ to examine how comfort, avoidance, and unchallenged beliefs show up in education. Participants will learn how to recognize internal barriers and make more intentional choices that support equitable, inclusive learning environments.",PM – Session E,,,
12,Day 3,Breakout,1:15,2:45 PM,1:15–2:45 PM,TBD,Saving the Planet through School Sustainability: How Green Schools Impact People & Planet,Dr. Deborah Rogers Curtis,"Hear from one technical expert, one practicing educator, and Missouri's state-wide Green Schools Coordinator about how school sustainability projects can have a positive impact on student & staff wellness, environmental health, and school operations & finance. ",PM – Session F,,,
