Session_ID,Day,Session_Type,Start_Time,End_Time,Time,Room,Session_Title,Presenter,Description,Track,Tags,Image,Bio
1,Day 2,Keynote,9:15,10:15 AM,9:15–10:15 AM,Cook Hall Anheuser-Busch Auditorium,"When Policy Enters the Classroom: School Funding, Testing, Screen Time, and the Real Conditions for Student Success","State Rep. Kem Smith, Ed.D.","Drawing on her experience as a veteran English educator and state legislator, Dr. Smith will help participants connect policy decisions to classroom realities and identify ways educators, families, and policymakers can share responsibility for improving student outcomes.",Main Session,,,
2,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 256,Making Math Accessible: Best Practices for Educating Emergent Bilingual Learners,Dr. Courtney Vahle,"More than 43,000 students in Missouri public schools were identified as “English Learners” in the 2024–25 school year. In this session, we will engage in hands-on activities and take an asset-based approach to answer: 1) what is our responsibility as educators or Emergent Bilingual students and 2) what specific strategies can we use to support Emerging Bilinguals in our classrooms?",AM – Session B,,,
3,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 260,Building Equity Through STEM Project-Based Learning in Rocketry,Nurlan Sherimbekov,"This session explores how STEM-based project learning, including rocketry programs, can promote equity, student engagement, and real-world problem solving. Participants will learn practical strategies for building inclusive, hands-on learning environments where students develop collaboration, creativity, and critical thinking skills. The focus is on connecting engineering design experiences to justice-centered education and increasing access to STEM opportunities for all learners.",AM – Session C,,,
4,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 273,Bridging the Digital Divide: Empowering Justice-Centered Education Through Positive AI,Omar Perkins,"As AI reshapes education, marginalized communities face a new digital divide: the ""mindset gap"". This interactive workshop equips educators with the Positive AI framework to ethically integrate artificial intelligence. By mastering the Three Pillars—Growth Mindset, Learned Optimism, and Critical Thinking—alongside the 3 E's (Equitable, Ethical, Non-Exploitative), participants will learn to transform AI from a source of anxiety into a catalyst for inclusive, justice-centered learning.",AM – Session D,,,
5,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 274,From Access to Belonging: Designing Systems for All Learners,"Kacee Mann, Ed.S., NCSP","How can special education systems move beyond compliance to create meaningful access and belonging? This interactive session examines how special education can more effectively support access to the general curriculum through strong Tier 1 instruction, thoughtful use of specially designed instruction, and collaborative systems. Participants will explore common barriers and leave with practical strategies to improve outcomes for students with disabilities.",AM – Session E,,,
6,Day 2,Breakout,10:30,12:00 PM,10:30–12:00 PM,Davis - Shaughnessy Room 271,"Dangerous Learning: Literacy, Truth, and Liberation through Curriculum",Dr. Zacheriah T. Davis,"Grounded in Dangerous Learning by Derek W. Black, this session examines how the historic suppression of Black literacy connects to present-day book bans, curriculum censorship, and the fight for truthful teaching. Participants will explore literacy as liberation, engage culturally responsive strategies aligned with the Science of Reading, and leave with practical tools to center Black voices, resist erasure, and reclaim curriculum as a space of empowerment.",AM – Session F,,,
7,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 256,"Building Instructional Coherence: A Justice-Centered Approach to Teacher Practice, Engagement, and Coaching","Dr. Pallavi Aggarwal, Ed.D.; Laura Myers","Building Instructional Coherence: A Justice-Centered Approach to Teaching and Learning explores how aligned systems of coaching, PLCs, and data use can transform teacher practice and student engagement. Grounded in a four-year design-based model, this session highlights practical tools and strategies to ensure all students experience rigorous, inclusive instruction. Participants will leave with actionable approaches to create coherent, equitable learning environments that support meaningful outcomes for every learner.",PM – Session A,,,
8,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 260,University City's Rising Tide: How We Got Every Classroom Rowing Together,Brad White; Dr. Sharonica Hardin; Dr. Elizabeth Gardner,"Change is hard. Scaling change is harder. Learn how University City Schools partnered with Updraft Education to align an entire district around a shared vision of great instruction and got 98% of teachers on board in a year. We'll walk through the systems, data, and change management moves that made it work, and how you can adapt them to your context.",PM – Session B,,,
9,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 273,Using Weekly Fidelity Data to Inform Decision Making,Dr. Meghan Hill; Dr. Lisa Tariq; Ms. Coumba Gueye; Dr. Taylor Lawson-Smith,"At St. Louis Language Immersion School (SLLIS), we drive continuous school improvement through a structured cycle of weekly fidelity data collection and action planning. This strategic process strengthens and aligns key school-wide systems, including instructional walkthroughs, PBIS, Dual Language and curriculum implementation, SEL, team data analysis, teacher feedback, PLCs, and 1:1 coaching meetings. By intentionally connecting these systems, we create coherence across the organization, monitor progress toward shared goals, and ensure that improvement efforts translate into meaningful outcomes for students and staff. This session will highlight how integrated systems and consistent implementation practices support sustained growth and advancement of School Improvement Plan priorities.
",PM – Session C,,,
10,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 274,Improving Teacher Support of Students with Anxiety in Catholic Elementary Schools,Dr. Kerry Smigielski,"As the United States faces a mental health crisis, 3.1% of Americans aged 3-17 are affected by anxiety.  Through their vocation, Catholic school teachers are called to serve these students as children of God.  This session reviews concepts of improvement science as they relate to better understanding current systems as well as using data to begin positive change.",PM – Session E,,,
11,Day 2,Breakout,1:15,2:45 PM,1:15–2:45 PM,Davis - Shaughnessy Room 271,Youth Financial Literacy,Adam L. Layne,Youth Financial Literacy ,PM – Session F,,,
